Area,Career,Faculty,Scores,Accepted
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,35,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,54,False
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,39,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,33,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,38,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,79,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,78,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,56,False
15,ACTUARIA,FACULTAD DE CIENCIAS,54,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,49,False
15,ACTUARIA,FACULTAD DE CIENCIAS,36,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,39,False
15,ACTUARIA,FACULTAD DE CIENCIAS,43,False
15,ACTUARIA,FACULTAD DE CIENCIAS,68,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,68,False
15,ACTUARIA,FACULTAD DE CIENCIAS,90,False
15,ACTUARIA,FACULTAD DE CIENCIAS,35,False
15,ACTUARIA,FACULTAD DE CIENCIAS,43,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,30,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,114,True
15,ACTUARIA,FACULTAD DE CIENCIAS,42,False
15,ACTUARIA,FACULTAD DE CIENCIAS,59,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,43,False
15,ACTUARIA,FACULTAD DE CIENCIAS,44,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,47,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,83,False
15,ACTUARIA,FACULTAD DE CIENCIAS,72,False
15,ACTUARIA,FACULTAD DE CIENCIAS,60,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
