career_id,career,career_norm,n_examenes_presente
1,ACTUARIA,ACTUARIA,10
2,ADMINISTRACION,ADMINISTRACION,10
3,ADMINISTRACION AGROPECUARIA,ADMINISTRACION AGROPECUARIA,10
4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,10
5,ANTROPOLOGIA,ANTROPOLOGIA,10
6,ARQUITECTURA,ARQUITECTURA,10
7,ARQUITECTURA DE PAISAJE,ARQUITECTURA DE PAISAJE,10
8,ARTE Y DISEÑO,ARTE Y DISENO,10
9,ARTES VISUALES,ARTES VISUALES,10
10,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,10
11,BIOLOGIA,BIOLOGIA,10
12,BIOQUIMICA DIAGNOSTICA,BIOQUIMICA DIAGNOSTICA,10
13,CANTO,CANTO,10
14,CIENCIA DE MATERIALES SUSTENTABLES,CIENCIA DE MATERIALES SUSTENTABLES,10
15,CIENCIAS AGROFORESTALES,CIENCIAS AGROFORESTALES,8
16,CIENCIAS AGROGENOMICAS,CIENCIAS AGROGENOMICAS,2
17,CIENCIAS AMBIENTALES,CIENCIAS AMBIENTALES,10
18,CIENCIAS DE LA COMPUTACION,CIENCIAS DE LA COMPUTACION,10
19,CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION,10
20,CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA,10
21,CIENCIAS POLITICAS Y ADMON PUBLICA,CIENCIAS POLITICAS Y ADMON PUBLICA,10
22,CIRUJANO DENTISTA,CIRUJANO DENTISTA,10
23,COMPOSICION,COMPOSICION,10
24,COMUNICACION,COMUNICACION,10
25,COMUNICACION Y PERIODISMO,COMUNICACION Y PERIODISMO,10
26,CONTADURIA,CONTADURIA,10
27,DERECHO,DERECHO,10
28,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,10
29,DESARROLLO TERRITORIAL,DESARROLLO TERRITORIAL,10
30,DESARROLLO Y GESTION INTERCULTURALES,DESARROLLO Y GESTION INTERCULTURALES,10
31,DISEÑO GRAFICO,DISENO GRAFICO,10
32,DISEÑO INDUSTRIAL,DISENO INDUSTRIAL,10
33,DISEÑO Y COMUNICACION VISUAL,DISENO Y COMUNICACION VISUAL,10
34,ECOLOGIA,ECOLOGIA,5
35,ECONOMIA,ECONOMIA,10
36,ECONOMIA INDUSTRIAL,ECONOMIA INDUSTRIAL,10
37,EDUCACION MUSICAL,EDUCACION MUSICAL,10
38,ENFERMERIA,ENFERMERIA,10
39,ENFERMERIA Y OBSTETRICIA,ENFERMERIA Y OBSTETRICIA,10
40,ENSEÑANZA DE INGLES,ENSENANZA DE INGLES,10
41,ESTUDIOS LATINOAMERICANOS,ESTUDIOS LATINOAMERICANOS,10
42,ESTUDIOS SOCIALES Y GESTION LOCAL,ESTUDIOS SOCIALES Y GESTION LOCAL,10
43,ETNOMUSICOLOGIA,ETNOMUSICOLOGIA,10
44,FARMACIA,FARMACIA,10
45,FILOSOFIA,FILOSOFIA,10
46,FISICA,FISICA,10
47,FISICA BIOMEDICA,FISICA BIOMEDICA,10
