career_id,career,faculty,n_historico,n_2026,distancia_wasserstein
78,LENGUA Y LITERATURAS MODERNAS (LETRAS ALEMANAS),FACULTAD DE FILOSOFIA Y LETRAS,127,4,23.076771653543307
22,CIRUJANO DENTISTA,FES IZTACALA,17094,2516,20.272472625413805
93,MEDICO CIRUJANO,FES ZARAGOZA,28861,4268,20.128382868447403
93,MEDICO CIRUJANO,FES IZTACALA,37499,5521,19.998371135697834
22,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,16916,2497,19.50203987987287
22,CIRUJANO DENTISTA,FES ZARAGOZA,15706,2292,19.141767277386908
96,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,6139,871,18.97422101715912
107,RELACIONES INTERNACIONALES,FES ARAGON,10610,1124,17.722600715768714
107,RELACIONES INTERNACIONALES,FES ACATLAN,7279,804,17.525743996052164
116,URBANISMO,FACULTAD DE ARQUITECTURA,982,106,17.47162125811782
27,DERECHO,FES ACATLAN,16197,1623,17.302195575570977
27,DERECHO,FES ARAGON,26407,2477,17.22866617054582
2,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,40288,5958,17.211284033575247
95,NUTRIOLOGIA,FES ZARAGOZA,13637,1373,17.02728983596692
93,MEDICO CIRUJANO,FACULTAD DE MEDICINA,93733,13144,16.980157100542748
73,INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,3499,447,16.820291895479244
6,ARQUITECTURA,FES ARAGON,13157,1603,16.80838480672331
71,INGENIERIA MECANICA,FES ARAGON,5065,791,16.686405427295973
38,ENFERMERIA,FES IZTACALA,14967,1588,16.656086715711595
19,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,12180,1370,16.502733930219456
27,DERECHO,FACULTAD DE DERECHO,40496,4935,16.116104949087244
26,CONTADURIA,FACULTAD DE CONTADURIA Y ADMINISTRACION,30243,4389,16.076921818212107
97,OPTOMETRIA,FES IZTACALA,2750,274,15.92390710019907
60,INGENIERIA CIVIL,FES ARAGON,6514,656,15.754912028127038
92,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLAN,15069,2113,15.741493625300901
6,ARQUITECTURA,FES ACATLAN,10506,1244,15.699343905763847
38,ENFERMERIA,FES ZARAGOZA,20902,2405,15.689887846083423
21,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLAN,3420,273,15.602673350041771
107,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,9346,974,15.331319639099355
35,ECONOMIA,FES ARAGON,5113,602,15.226552342312896
70,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERIA,7074,977,15.167547832548964
92,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,25715,3403,15.04773652783978
2,ADMINISTRACION,FES CUAUTITLAN,10784,909,14.995155088580077
60,INGENIERIA CIVIL,FES ACATLAN,4975,548,14.751226570810255
70,INGENIERIA INDUSTRIAL,FES ARAGON,4178,548,14.748036290195778
102,PSICOLOGIA,FES IZTACALA,16880,2126,14.683489007681917
6,ARQUITECTURA,FACULTAD DE ARQUITECTURA,32188,3939,14.568635134918985
