examen_id,year,period,area_num,area_name,career_id,career,faculty,n_aspirantes,n_presento,n_seleccionados,aciertos_minimos,tasa_aceptacion
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,1,ACTUARIA,FACULTAD DE CIENCIAS,1433.0,1308.0,37.0,104.0,0.028287461773700305
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,1,ACTUARIA,FES ACATLAN,728.0,680.0,43.0,92.0,0.06323529411764706
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,6,ARQUITECTURA,FACULTAD DE ARQUITECTURA,4068.0,3744.0,202.0,87.0,0.053952991452991456
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,6,ARQUITECTURA,FES ACATLAN,1315.0,1231.0,76.0,78.0,0.06173842404549147
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,6,ARQUITECTURA,FES ARAGON,1462.0,1371.0,69.0,77.0,0.05032822757111598
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,7,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,343.0,318.0,16.0,88.0,0.050314465408805034
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,14,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,45.0,41.0,28.0,54.0,0.6829268292682927
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,18,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,628.0,550.0,33.0,99.0,0.06
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,20,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,134.0,121.0,19.0,88.0,0.15702479338842976
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,20,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,42.0,36.0,15.0,68.0,0.4166666666666667
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,20,CIENCIAS DE LA TIERRA,FACULTAD DE CIENCIAS,331.0,307.0,25.0,95.0,0.08143322475570032
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,32,DISEÑO INDUSTRIAL,FES ARAGON,449.0,413.0,18.0,80.0,0.043583535108958835
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,46,FISICA,FACULTAD DE CIENCIAS,1952.0,1773.0,77.0,107.0,0.04342921601804851
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,47,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,373.0,330.0,11.0,105.0,0.03333333333333333
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,49,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,60.0,55.0,24.0,66.0,0.43636363636363634
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,56,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLAN,644.0,591.0,69.0,66.0,0.116751269035533
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,59,INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA,551.0,505.0,14.0,94.0,0.027722772277227723
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,60,INGENIERIA CIVIL,FACULTAD DE INGENIERIA,1290.0,1170.0,109.0,85.0,0.09316239316239316
2019-feb,2019,feb,1,Ciencias Fisico-Matematicas y de las Ingenierias,60,INGENIERIA CIVIL,FES ACATLAN,623.0,584.0,82.0,67.0,0.1404109589041096
